time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0.203,0.126982,0.0463416,0.00523957,0.000193161,-0.000543279,0.00054077,0.536584,1.01963,3.99263,0.00219409
0.204,0.126193,0.0464678,0.00528604,0.0003056,-0.000542973,0.000540227,0.535322,1.01767,3.99234,0.00219354
0.205,0.125411,0.0465932,0.00533263,0.000423684,-0.000542549,0.000539684,0.534068,1.01572,3.99208,0.002193
0.206,0.124632,0.0467178,0.00537935,0.000527598,-0.000542022,0.000539142,0.532822,1.01379,3.9918,0.00219246
0.207,0.12386,0.0468417,0.00542619,0.000637175,-0.000541385,0.000538601,0.531583,1.01188,3.99154,0.00219192
0.208,0.123093,0.0469648,0.00547316,0.000742708,-0.000540642,0.00053806,0.530352,1.00997,3.99131,0.00219138
0.209,0.122329,0.0470871,0.00552025,0.000834072,-0.000539808,0.000537521,0.529129,1.00807,3.99107,0.00219084
0.21,0.121572,0.0472087,0.00556746,0.000931878,-0.000538876,0.000536982,0.527913,1.00619,3.99086,0.0021903
0.211,0.120818,0.0473295,0.00561478,0.00101602,-0.00053786,0.000536444,0.526705,1.00432,3.99063,0.00218976
0.212,0.12007,0.0474496,0.00566223,0.00110639,-0.000536753,0.000535907,0.525504,1.00246,3.99044,0.00218922
0.213,0.119325,0.0475689,0.0057098,0.00118373,-0.00053557,0.000535371,0.524311,1.00061,3.99023,0.00218869
0.214,0.118587,0.0476875,0.00575749,0.00126729,-0.000534302,0.000534837,0.523125,0.998776,3.99003,0.00218815
0.215,0.117853,0.0478053,0.0058053,0.00134749,-0.000532955,0.000534304,0.521947,0.996949,3.98986,0.00218762
0.216,0.117122,0.0479225,0.00585322,0.00141458,-0.00053154,0.000533773,0.520775,0.995137,3.98967,0.00218709
0.217,0.116398,0.0480389,0.00590126,0.00148848,-0.000530052,0.000533243,0.519611,0.993333,3.98952,0.00218656
0.218,0.115676,0.0481545,0.00594941,0.00154969,-0.000528502,0.000532714,0.518455,0.991543,3.98935,0.00218603
0.219,0.11496,0.0482695,0.00599768,0.00161774,-0.000526884,0.000532187,0.517305,0.98976,3.98921,0.0021855
0.22,0.114247,0.0483837,0.00604606,0.00167334,-0.000525211,0.000531662,0.516163,0.987992,3.98906,0.00218498
0.221,0.11354,0.0484973,0.00609456,0.0017359,-0.000523475,0.000531139,0.515027,0.986235,3.98891,0.00218446
0.222,0.112837,0.0486101,0.00614317,0.00179561,-0.00052168,0.000530617,0.513899,0.984485,3.98879,0.00218393
0.223,0.112137,0.0487222,0.00619189,0.00184302,-0.000519837,0.000530097,0.512778,0.982749,3.98865,0.00218341
0.224,0.111442,0.0488337,0.00624073,0.00189773,-0.000517939,0.000529579,0.511663,0.981019,3.98854,0.0021829
0.225,0.11075,0.0489444,0.00628967,0.00194042,-0.000515998,0.000529063,0.510556,0.979304,3.98842,0.00218238
